,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
77,Tromso,75,NO,1536897000,93,69.65,18.96,48.2,9.17
78,Avarua,75,CK,1536894000,68,-21.21,-159.78,71.6,4.7
79,Banda Aceh,12,ID,1536898147,73,5.56,95.32,84.61,3.49
80,Kavieng,0,PG,1536898301,100,-2.57,150.8,84.79,4.16
81,Mayumba,92,GA,1536898302,100,-3.44,10.65,72.91,6.17
82,Gillette,1,US,1536897180,71,44.29,-105.5,53.06,3.36
83,Hambantota,56,LK,1536898302,95,6.12,81.12,81.73,9.42
84,Ulaangom,0,MN,1536898303,56,49.98,92.07,36.64,0.92
85,Mutare,0,MZ,1536898195,87,-18.97,32.67,49.6,2.37
86,San Cristobal,20,EC,1536894000,81,-0.39,-78.55,50.0,2.24
87,Iqaluit,40,CA,1536894000,100,63.75,-68.52,32.0,15.46
88,Bella Union,80,CO,1536898304,94,8.5,-73.35,66.97,1.59
89,Baijiantan,0,CN,1536898304,65,45.63,85.18,51.04,5.95
90,La Plaine,90,FR,1536895800,82,45.17,5.76,65.34,3.36
91,Longyearbyen,75,NO,1536893400,80,78.22,15.63,33.8,2.71
92,Geraldton,20,CA,1536894000,82,49.72,-86.95,62.6,10.29
93,Gualaquiza,32,EC,1536898306,80,-3.4,-78.58,64.27,2.93
94,Puerto Madryn,0,AR,1536898306,75,-42.77,-65.04,51.13,12.44
95,Kirakira,64,SB,1536898307,100,-10.46,161.92,82.09,14.23
96,Bilibino,92,RU,1536898307,83,68.06,166.44,42.67,5.28
97,Nefteyugansk,75,RU,1536895800,93,61.09,72.61,51.8,22.37
98,Tuktoyaktuk,90,CA,1536894000,86,69.44,-133.03,28.4,9.17
99,Helmsdale,75,GB,1536897000,76,58.12,-3.65,52.34,8.05
100,Srivardhan,0,IN,1536898308,88,18.03,73.02,78.67,3.49
101,Upata,8,VE,1536898308,86,8.02,-62.41,74.08,6.06
102,Uvalde,1,US,1536897300,93,29.21,-99.79,76.15,3.36
103,Kerema,92,PG,1536898309,96,-7.96,145.78,75.97,2.82
104,Hilo,20,US,1536895440,82,19.71,-155.08,70.99,8.05
105,Dingle,92,PH,1536898310,100,11.0,122.67,75.79,16.69
106,Apatity,92,RU,1536898310,100,67.57,33.4,45.28,2.37
107,Wichian Buri,92,TH,1536898310,100,15.66,101.11,75.61,4.38
108,Cayenne,0,GF,1536895800,100,4.94,-52.33,77.0,10.54
109,North Bend,90,US,1536897360,96,43.41,-124.22,54.39,1.92
110,Nome,40,US,1536897300,85,30.04,-94.42,77.86,5.82
111,Nuevo Progreso,90,US,1536897660,100,26.05,-97.95,81.25,5.82
112,Port Elizabeth,90,US,1536897300,93,39.31,-74.98,71.31,10.29
113,Tocopilla,64,CL,1536898312,100,-22.09,-70.2,53.11,2.37
114,Williston,1,US,1536897300,61,48.15,-103.62,57.88,9.17
115,Constantine,20,DZ,1536895800,93,36.36,6.61,62.6,3.71
116,Kodiak,1,US,1536897180,93,39.95,-94.76,71.96,8.05
117,Axim,92,GH,1536898313,100,4.87,-2.24,76.78,10.42
118,Atuona,0,PF,1536898314,99,-9.8,-139.03,79.84,16.91
119,Jertih,75,MY,1536894000,70,5.74,102.5,87.8,3.36
120,Mildura,0,AU,1536898314,42,-34.18,142.16,73.63,15.79
121,Broome,0,GB,1536897360,81,52.47,1.45,53.96,6.93
122,Khakhea,0,BW,1536898315,31,-24.69,23.5,46.36,3.6
123,Goderich,44,CA,1536898315,86,43.74,-81.71,69.94,11.65
124,Victoria,90,BN,1536895800,74,5.28,115.24,86.92,5.82
125,Fortuna,20,ES,1536897600,88,38.18,-1.13,71.62,3.36
126,Atasu,0,KZ,1536898316,78,48.68,71.64,49.33,2.82
127,Vyatskiye Polyany,0,RU,1536898317,87,56.22,51.07,49.96,11.54
128,Ginir,0,ET,1536898317,68,7.14,40.71,62.74,6.73
129,Arraial do Cabo,0,BR,1536898317,91,-22.97,-42.02,69.31,20.49
130,Atar,8,MR,1536898318,80,20.52,-13.05,73.18,2.59
131,Fukue,75,JP,1536896820,69,35.03,136.69,74.25,3.36
132,Faya,0,SA,1536894000,45,18.39,42.45,63.54,1.59
133,Shenjiamen,8,CN,1536898319,97,29.96,122.3,80.92,4.72
134,Micheweni,80,TZ,1536898067,100,-4.97,39.83,76.51,9.42
135,Bredasdorp,76,ZA,1536894000,76,-34.53,20.04,53.6,8.05
136,Ahipara,56,NZ,1536898319,84,-35.17,173.16,57.52,8.86
137,Kondinskoye,44,RU,1536898320,74,59.65,67.41,52.93,14.67
138,Muros,20,ES,1536897600,100,42.77,-9.06,60.8,8.05
139,Kurilsk,92,RU,1536898320,88,45.23,147.88,60.67,12.44
140,Alihe,8,CN,1536898320,64,50.57,123.73,61.84,3.71
141,Aranos,0,NA,1536898321,30,-24.14,19.11,45.46,2.26
142,Khatanga,12,RU,1536898321,100,71.98,102.47,41.23,10.76
143,Esperance,40,TT,1536894000,88,10.24,-61.45,78.8,5.82
144,Havre,75,US,1536897180,63,48.55,-109.68,55.04,4.61
145,Mehamn,75,NO,1536897000,87,71.03,27.85,48.2,2.24
146,Sorong,20,ID,1536898322,100,-0.86,131.25,80.65,10.87
147,Malanje,24,AO,1536898322,99,-9.54,16.35,62.47,3.71
148,Cidreira,88,BR,1536898323,89,-30.17,-50.22,63.73,7.74
149,Dicabisagan,92,PH,1536898323,100,17.08,122.42,79.48,16.8
150,Cotonou,20,BJ,1536894000,94,6.37,2.43,77.0,2.24
151,Kholmogory,90,RU,1536895800,100,64.23,41.65,50.0,2.24
152,Wanning,75,AT,1536895200,93,48.64,13.53,62.6,2.24
153,Antofagasta,75,CL,1536894000,71,-23.65,-70.4,55.4,4.7
154,Straumen,75,NO,1536897000,87,63.87,11.3,44.6,2.24
155,Sao Joao da Barra,36,BR,1536898325,100,-21.64,-41.05,72.28,19.37
156,Port Blair,80,IN,1536898325,100,11.67,92.75,81.91,13.33
157,Belmonte,0,PT,1536898051,78,40.36,-7.35,59.68,3.6
158,Georgetown,40,GY,1536894000,100,6.8,-58.16,73.4,4.7
159,Coquimbo,90,CL,1536897600,81,-29.95,-71.34,53.6,3.36
160,Walker,40,US,1536896160,90,43.01,-85.77,62.91,5.17
161,Birao,44,CF,1536898327,99,10.3,22.78,68.41,3.94
162,Kwinana,75,AU,1536895800,51,-32.25,115.77,61.95,21.92
163,Cam Ranh,64,VN,1536898328,96,11.92,109.15,81.01,1.7
164,Nantucket,1,US,1536896100,100,41.28,-70.1,62.78,8.97
165,San Mateo del Mar,68,MX,1536898328,96,16.21,-94.98,83.98,5.73
166,Dandong,88,CN,1536898328,80,40.12,124.37,74.98,3.6
167,Asadabad,0,IR,1536898329,80,34.78,48.12,46.54,2.15
168,Ulladulla,0,AU,1536894000,44,-35.36,150.48,75.2,13.87
169,Longonjo,0,AO,1536898389,85,-12.91,15.25,44.83,2.15
170,Zavolzhye,0,RU,1536895800,81,56.64,43.39,50.0,4.47
171,Airai,0,TL,1536898331,36,-8.93,125.41,84.43,1.36
172,Vilhena,36,BR,1536898106,78,-12.74,-60.15,74.98,2.71
173,Saskylakh,0,RU,1536898331,77,71.97,114.09,43.75,6.17
174,Biltine,92,TD,1536898391,67,14.53,20.93,74.98,8.75
175,Verkhnyaya Inta,92,RU,1536898333,99,65.99,60.32,48.07,4.72
176,Magrath,90,CA,1536897600,70,49.42,-112.86,42.8,5.82
177,Saint-Philippe,1,CA,1536897300,100,45.36,-73.48,62.83,3.71
178,Galle,1,US,1536897360,97,29.74,-97.91,75.6,10.29
179,Entebbe,48,UG,1536898334,100,0.06,32.45,68.14,9.86
180,Broken Hill,0,AU,1536898334,36,-31.97,141.45,75.43,15.46
181,Mar del Plata,12,AR,1536898063,52,-46.43,-67.52,55.99,21.27
182,Sydney,0,AU,1536895800,53,-33.85,151.22,80.15,16.11
183,Upernavik,32,GL,1536898335,100,72.79,-56.15,35.56,3.83
184,Saint George,20,GR,1536895200,77,39.45,22.34,59.0,3.36
185,Nouadhibou,8,MR,1536894000,69,20.93,-17.03,82.4,9.17
186,Zhuhai,20,CN,1536894000,68,40.71,112.04,66.2,6.71
187,Cabo San Lucas,20,MX,1536892800,74,22.89,-109.91,82.4,5.82
188,Vao,56,EE,1536898336,83,59.1,26.19,52.03,7.96
189,Hervey Bay,0,AU,1536898337,79,-25.3,152.85,72.46,5.17
190,Biloela,0,AU,1536898337,45,-24.4,150.51,81.01,4.38
191,Codrington,0,AU,1536898337,69,-28.95,153.24,75.43,3.49
192,Richards Bay,92,ZA,1536898338,98,-28.77,32.06,63.46,2.71
193,Awbari,0,LY,1536898338,46,26.59,12.77,69.13,6.62
194,Ponta do Sol,56,BR,1536898338,96,-20.63,-46.0,58.51,2.04
195,Otorohanga,0,NZ,1536898338,71,-38.18,175.2,60.67,9.19
196,Shuyskoye,56,RU,1536898339,70,59.37,41.03,52.48,11.88
197,Provideniya,90,RU,1536895800,87,64.42,-173.23,46.4,13.42
198,Nioro,64,GM,1536898339,98,13.79,-15.05,72.19,2.93
199,Vanimo,68,PG,1536898339,100,-2.67,141.3,80.29,13.44
200,Kahului,75,US,1536893760,76,20.89,-156.47,78.15,18.34
201,Meulaboh,36,ID,1536898340,100,4.14,96.13,81.28,0.69
202,Beringovskiy,92,RU,1536898340,99,63.05,179.32,50.77,18.37
203,Buchanan,75,LR,1536895800,100,5.88,-10.05,73.4,7.4
204,Clyde River,90,CA,1536896340,100,70.47,-68.59,33.8,3.36
205,Bonthe,92,SL,1536898341,100,7.53,-12.5,72.64,3.49
206,Sinnamary,92,GF,1536898341,95,5.38,-52.96,82.36,15.01
207,Hithadhoo,88,MV,1536898342,100,-0.6,73.08,82.54,15.12
208,Havelock,90,US,1536897360,93,34.88,-76.9,76.48,36.91
209,Puerto Plata,40,DO,1536894000,88,19.79,-70.69,79.61,9.19
210,Ayan,0,TR,1536898343,81,40.67,33.6,41.23,1.59
211,Satis,36,RU,1536898343,86,54.92,43.23,45.28,4.05
212,Luganville,92,VU,1536898343,100,-15.51,167.18,74.71,7.74
213,Saint-Georges,0,CA,1536898343,87,46.12,-70.67,54.82,2.26
214,Sao Filipe,76,CV,1536898344,100,14.9,-24.5,76.51,4.61
215,Saint Simons,1,US,1536896340,94,31.14,-81.39,78.55,5.28
216,Inta,92,RU,1536898344,98,66.04,60.13,48.52,4.5
217,Srednekolymsk,88,RU,1536898345,84,67.46,153.71,38.08,3.94
218,Piskivka,80,UA,1536895800,100,50.7,29.59,57.06,2.24
219,Sarangani,12,PH,1536898345,93,5.4,125.46,84.52,15.35
220,Xuanzhou,44,CN,1536898345,90,30.95,118.78,81.91,4.27
221,Arona,0,IT,1536895200,93,45.76,8.56,57.4,4.7
222,Caravelas,8,BR,1536898346,100,-17.73,-39.27,73.63,13.22
223,Belaya Gora,92,RU,1536898346,100,68.54,146.19,38.89,10.98
224,Chicama,90,PE,1536894000,88,-7.84,-79.15,62.6,8.05
225,Tolaga Bay,0,NZ,1536898347,73,-38.37,178.3,61.03,4.05
226,Kefamenanu,0,ID,1536898347,33,-9.45,124.48,85.96,1.7
227,Sorland,75,NO,1536897000,87,67.67,12.69,48.2,4.7
228,Rawson,0,AR,1536898348,40,-43.3,-65.11,46.18,6.73
229,Sabang,92,PH,1536898348,100,13.72,123.58,76.06,21.27
230,Constitucion,90,MX,1536893280,100,23.99,-104.67,64.4,4.7
231,Puerto Ayora,44,EC,1536898342,100,-0.74,-90.35,70.66,12.21
232,Talnakh,0,RU,1536898349,81,69.49,88.39,38.53,14.56
233,Mbuji-Mayi,44,CD,1536898349,98,-6.13,23.6,66.16,2.93
234,Izumo,75,JP,1536894000,83,35.37,132.75,77.0,9.17
235,Ust-Kuyga,0,RU,1536898349,69,70.0,135.55,45.82,1.59
236,Beian,75,NO,1536897000,76,63.66,9.57,50.0,6.93
237,Baruun-Urt,88,MN,1536898350,63,46.68,113.28,55.81,21.16
238,Timiryazevskoye,80,RU,1536898350,70,56.49,84.88,54.28,11.21
239,Port Macquarie,0,AU,1536894000,44,-31.43,152.91,78.8,12.75
240,Doha,12,QA,1536894000,79,25.29,51.53,87.8,6.96
241,Verkhnevilyuysk,68,RU,1536898351,78,63.45,120.31,43.39,4.72
242,Lodja,68,CD,1536898351,96,-3.52,23.6,69.4,2.59
243,Mnogovershinnyy,92,RU,1536898351,100,53.94,139.92,53.29,2.59
244,Luderitz,0,NA,1536898352,90,-26.65,15.16,49.69,12.77
245,Yendi,68,GH,1536898352,91,9.45,0.0,73.99,9.64
246,Jardim,32,BR,1536898352,88,-21.48,-56.15,65.71,3.71
247,Saint-Francois,40,FR,1536897600,93,46.42,3.91,57.2,3.38
248,Pasni,12,PK,1536898353,98,25.26,63.48,78.85,4.27
249,Ust-Nera,24,RU,1536898353,62,64.57,143.24,38.62,2.59
250,Lompoc,1,US,1536896100,67,34.64,-120.46,58.6,4.7
251,Gizo,20,IL,1536895200,73,31.8,34.94,77.38,3.36
252,Karratha,0,AU,1536898354,10,-20.74,116.85,93.16,4.72
253,Brookhaven,90,US,1536897360,93,40.78,-72.92,69.04,4.7
254,Batemans Bay,0,AU,1536898355,58,-35.71,150.18,68.5,3.94
255,Rocha,76,UY,1536898355,96,-34.48,-54.34,56.44,6.4
256,Guerrero Negro,0,MX,1536898356,85,27.97,-114.04,72.19,9.42
257,Alta Floresta,24,BR,1536898356,94,-9.87,-56.08,74.17,2.59
258,Severo-Kurilsk,32,RU,1536898357,83,50.68,156.12,56.8,6.62
259,Jiwani,64,PK,1536898357,98,25.05,61.74,77.59,3.15
260,Lavrentiya,80,RU,1536898357,97,65.58,-170.99,49.06,15.68
261,Dhidhdhoo,48,MV,1536898357,99,6.88,73.1,83.89,8.19
262,Lorengau,44,PG,1536898361,100,-2.02,147.27,82.99,8.75
263,Seidu,92,NG,1536898361,100,8.32,4.47,73.36,5.28
264,Kruisfontein,0,ZA,1536898362,92,-34.0,24.73,56.62,15.23
265,Isoka,8,ZM,1536898362,78,-10.15,32.64,59.77,6.62
266,Cururupu,0,BR,1536898362,76,-1.82,-44.87,78.58,10.2
267,Isnos,68,CO,1536898363,98,1.94,-76.24,55.72,2.04
268,Mackay,90,CA,1536897600,86,53.65,-115.58,30.2,3.36
269,Riyadh,68,SA,1536894000,9,24.63,46.72,84.2,4.7
270,Imbituba,75,BR,1536894000,93,-28.24,-48.67,64.4,2.24
271,Burns Lake,44,CA,1536898364,68,54.23,-125.76,37.45,2.37
272,Depok,20,ID,1536897600,40,-6.41,106.81,88.74,6.93
273,Berlevag,75,NO,1536897000,87,70.86,29.09,48.2,2.24
274,Basco,1,US,1536896400,88,40.33,-91.2,69.12,4.7
275,Leh,80,IN,1536898365,85,34.16,77.58,32.68,0.36
276,Mandiana,8,GN,1536898365,94,10.62,-8.7,66.34,3.71
277,Deniliquin,0,AU,1536898366,75,-35.53,144.96,67.33,11.65
278,Kaeo,12,NZ,1536898366,62,-35.1,173.78,62.11,8.19
279,Concepcion del Oro,24,MX,1536898366,74,24.63,-101.42,58.87,2.26
280,Tommot,92,RU,1536898367,89,58.97,126.27,43.93,3.27
281,Barcelos,40,PT,1536895800,100,41.53,-8.62,58.86,1.81
282,Merauke,100,ID,1536898367,69,-8.49,140.4,85.51,17.25
283,Merritt Island,1,US,1536893760,90,28.54,-80.67,79.57,6.06
284,Naze,64,NG,1536898371,97,5.43,7.07,72.01,3.71
285,Sao Felix do Xingu,12,BR,1536898371,95,-6.64,-51.99,73.0,2.71
286,Dolny Kubin,0,SK,1536895800,93,49.21,19.3,55.31,3.36
287,Lebu,20,ET,1536894000,93,8.96,38.73,51.8,6.93
288,Tamiahua,20,MX,1536898372,99,21.28,-97.45,80.92,5.28
289,Eureka,1,US,1536896100,93,40.8,-124.16,55.18,6.93
290,Prescott,1,US,1536893580,4,34.54,-112.47,69.08,6.93
291,Novikovo,36,UA,1536898373,100,45.05,34.56,64.54,8.97
292,Komsomolskiy,88,RU,1536898373,98,67.55,63.78,44.2,7.63
293,Rosa Zarate,92,EC,1536898373,96,0.33,-79.47,72.01,1.7
294,Ismailia,0,EG,1536898374,96,30.6,32.27,65.44,2.59
295,Savannah Bight,0,HN,1536898374,95,16.45,-85.85,84.61,21.27
296,Uberlandia,0,BR,1536894000,46,-18.92,-48.28,73.4,8.05
297,Pangody,92,RU,1536898375,97,65.85,74.49,46.36,13.89
298,Flagstaff,1,US,1536896100,22,35.2,-111.65,65.88,6.17
299,Northam,92,GB,1536893400,93,51.04,-4.21,53.6,8.05
300,Caraquet,1,CA,1536894000,93,47.79,-64.94,60.8,4.7
301,Husavik,44,CA,1536898376,96,50.56,-96.99,57.43,9.31
302,Ca Mau,88,VN,1536898376,94,9.18,105.15,81.28,11.77
303,La Crosse,1,US,1536897300,78,43.8,-91.24,62.46,4.7
304,Haines Junction,80,CA,1536898377,70,60.75,-137.51,43.39,2.71
305,Susaki,75,JP,1536894000,83,33.42,133.28,78.8,2.24
306,Saldanha,0,PT,1536898377,81,41.42,-6.55,54.73,2.15
307,Ozinki,48,RU,1536898378,72,51.2,49.73,59.05,3.49
308,Yuanping,32,CN,1536898378,89,38.72,112.71,62.56,3.04
309,Houma,92,CN,1536898378,85,35.63,111.36,65.44,2.15
310,Barroso,20,BR,1536897600,93,-23.67,-46.22,60.8,3.36
311,Masvingo,0,ZW,1536898379,60,-20.08,30.83,46.09,2.93
312,Anadyr,75,RU,1536895800,93,64.73,177.51,53.6,29.08
313,Rio Grande,68,BR,1536898379,92,-32.03,-52.1,61.48,6.73
314,Shingu,75,JP,1536894000,83,33.72,135.99,77.0,5.82
315,Mhlambanyatsi,0,SZ,1536898380,63,-26.45,31.02,41.41,1.48
316,Ternate,90,PH,1536894000,94,14.29,120.72,84.2,8.05
317,Hami,0,CN,1536898381,84,42.84,93.51,53.38,6.17
318,Chimore,80,BO,1536898381,91,-16.98,-65.13,74.98,1.59
319,Marzuq,0,YE,1536898381,88,14.4,46.47,58.96,3.71
320,Klaksvik,80,FO,1536897000,87,62.23,-6.59,44.6,2.24
321,Mayo,40,CA,1536894000,39,63.59,-135.9,48.2,12.75
322,Katsuura,75,JP,1536896880,78,33.93,134.5,76.42,8.05
323,Henties Bay,8,NA,1536898382,100,-22.12,14.28,52.3,3.83
324,Singaraja,40,ID,1536897600,58,-8.11,115.08,84.2,8.05
325,Rudnogorsk,92,RU,1536898383,100,57.27,103.75,39.43,6.96
326,Tshela,92,CD,1536898383,88,-4.99,12.94,69.58,4.16
327,Qidong,12,CN,1536898383,87,31.81,121.66,83.26,3.94
328,Oussouye,20,SN,1536894000,83,12.49,-16.54,77.88,4.7
329,Pacific Grove,1,US,1536896100,55,36.62,-121.92,61.84,9.17
330,Zhigansk,76,RU,1536898384,73,66.77,123.37,43.66,3.49
331,Varzea Grande,0,BR,1536894000,93,-29.42,-50.86,64.4,4.7
332,Coihaique,75,CL,1536894000,76,-45.58,-72.07,47.16,8.05
333,Dali,64,CN,1536898385,83,25.6,100.24,67.69,1.36
334,Tiznit,8,MA,1536898386,94,29.7,-9.73,66.43,2.71
335,Beidao,92,CN,1536898386,96,34.57,105.89,58.06,3.15
336,Najran,0,SA,1536894000,31,17.54,44.22,73.4,4.05
337,Pangnirtung,12,CA,1536898386,90,66.15,-65.72,31.96,18.48
338,Evensk,0,RU,1536898387,94,61.92,159.24,50.59,9.19
339,Puerto Baquerizo Moreno,36,EC,1536898387,100,-0.9,-89.6,71.11,12.55
340,Rio Gallegos,0,AR,1536894000,65,-51.62,-69.22,46.4,8.05
341,Namatanai,88,PG,1536898387,100,-3.66,152.44,82.18,2.82
342,Tiarei,75,PF,1536895800,69,-17.53,-149.33,80.6,8.05
343,Yulara,0,AU,1536894720,7,-25.24,130.99,91.4,18.34
344,Cody,1,US,1536897360,50,44.53,-109.06,57.02,6.93
345,Walvis Bay,0,NA,1536898390,100,-22.95,14.51,55.18,8.52
346,Bagdarin,92,RU,1536898390,87,54.44,113.59,36.91,3.38
347,Kieta,92,PG,1536898390,100,-6.22,155.63,76.15,3.04
348,Gladstone,0,AU,1536898390,55,-23.84,151.26,78.13,9.53
349,Poum,8,MK,1536898391,79,41.28,20.71,49.96,2.71
350,La Paz,0,MX,1536898391,58,24.15,-110.32,86.23,5.61
351,Hasaki,75,JP,1536895800,69,35.73,140.83,75.2,3.36
352,Ayagoz,0,KZ,1536898392,43,47.96,80.43,47.89,6.62
353,Matamoros,40,US,1536897660,93,25.87,-97.51,81.03,4.72
354,Kutum,32,SD,1536898392,94,14.2,24.66,63.64,3.71
355,Viedma,0,AR,1536898393,50,-40.81,-62.99,46.81,5.39
356,College,20,US,1536893880,42,64.86,-147.8,62.13,9.17
357,Danane,88,CI,1536898393,97,7.26,-8.15,70.3,4.16
358,Uglekamensk,8,RU,1536898393,59,43.22,133.23,72.64,2.71
359,Conceicao do Araguaia,0,BR,1536898394,87,-8.26,-49.26,72.91,2.71
360,Marsh Harbour,8,BS,1536898394,99,26.54,-77.06,84.25,9.19
361,Vilyuysk,64,RU,1536898394,75,63.75,121.63,43.12,4.27
362,Opuwo,0,NA,1536898395,76,-18.06,13.84,45.19,2.37
363,Artvin,0,TR,1536895800,88,41.18,41.83,77.0,6.93
364,Grindavik,40,IS,1536895800,80,63.84,-22.43,39.2,9.17
365,Yerofey Pavlovich,64,RU,1536898396,84,53.97,121.97,52.66,3.71
366,Zhanaozen,0,KZ,1536898396,29,43.35,52.85,62.47,13.0
367,Puerto del Rosario,44,ES,1536897600,83,28.5,-13.86,75.2,8.05
368,Taraz,0,KZ,1536895800,32,42.89,71.39,51.8,6.71
369,Turukhansk,0,RU,1536898397,79,65.8,87.96,39.16,17.81
370,Inhambane,0,MZ,1536898397,100,-23.87,35.38,66.79,10.76
371,Vostok,76,RU,1536898397,94,46.45,135.83,58.6,3.6
372,Le Pradet,90,FR,1536897600,82,46.44,1.83,60.8,6.93
373,Praia,0,BR,1536894000,68,-20.25,-43.81,64.4,8.05
374,Shubarkuduk,0,KZ,1536898398,36,49.15,56.49,54.64,9.19
